"Date_calls,""calls"""
"10/1/2017,""510"""
"10/2/2017,""1336"""
"10/3/2017,""1185"""
"10/4/2017,""1194"""
"10/5/2017,""1213"""
"10/6/2017,""1106"""
"10/7/2017,""616"""
"10/8/2017,""471"""
"10/9/2017,""1281"""
"10/10/2017,""1277"""
"10/11/2017,""1297"""
"10/12/2017,""1248"""
"10/13/2017,""1103"""
"10/14/2017,""719"""
"10/15/2017,""669"""
"10/16/2017,""715"""
"10/17/2017,""1143"""
"10/18/2017,""1145"""
"10/19/2017,""1075"""
"10/20/2017,""983"""
"10/21/2017,""650"""
"10/22/2017,""435"""
"10/23/2017,""1070"""
"10/24/2017,""1140"""
"10/25/2017,""1114"""
"10/26/2017,""1002"""
"10/27/2017,""982"""
"10/28/2017,""731"""
"10/29/2017,""536"""
"10/30/2017,""1221"""
"10/31/2017,""1111"""
"11/1/2017,""1025"""
"11/2/2017,""1052"""
"11/3/2017,""1023"""
"11/4/2017,""774"""
"11/5/2017,""497"""
"11/6/2017,""1231"""
"11/7/2017,""1171"""
"11/8/2017,""1321"""
"11/9/2017,""1282"""
"11/10/2017,""1215"""
"11/11/2017,""959"""
"11/12/2017,""485"""
"11/13/2017,""1485"""
"11/14/2017,""1331"""
"11/15/2017,""1310"""
"11/16/2017,""1328"""
"11/17/2017,""1371"""
"11/18/2017,""875"""
"11/19/2017,""523"""
"11/20/2017,""1344"""
"11/21/2017,""1235"""
"11/22/2017,""1263"""
"11/23/2017,""1333"""
"11/24/2017,""3712"""
"11/25/2017,""1350"""
"11/26/2017,""683"""
"11/27/2017,""1430"""
"11/28/2017,""1415"""
"11/29/2017,""1278"""
"11/30/2017,""1274"""
"12/1/2017,""1231"""
"12/2/2017,""837"""
"12/3/2017,""489"""
"12/4/2017,""1332"""
"12/5/2017,""1229"""
"12/6/2017,""1174"""
"12/7/2017,""1100"""
"12/8/2017,""1128"""
"12/9/2017,""736"""
"12/10/2017,""474"""
"12/11/2017,""1423"""
"12/12/2017,""1432"""
"12/13/2017,""1567"""
"12/14/2017,""1491"""
"12/15/2017,""1493"""
"12/16/2017,""938"""
"12/17/2017,""573"""
"12/18/2017,""1747"""
"12/19/2017,""1463"""
"12/20/2017,""1508"""
"12/21/2017,""1572"""
"12/22/2017,""1458"""
"12/23/2017,""1078"""
"12/24/2017,""718"""
"12/25/2017,""1239"""
"12/26/2017,""1923"""
"12/27/2017,""2107"""
